id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,sticky,other_data
51,3,"Anthony Reserve Playground,2-20 Anthony Avenue,Doncaster VIC, Australia",,,,,-37.77578461,145.109228,0,,0,,1,0,0,,0,
52,3,"Brendan Reserve Playground,23 Brendan Avenue,Doncaster VIC, Australia",,,,,-37.78076346,145.1214565,0,,0,,1,0,0,,0,
53,3,"Burgundy Reserve Playground,4A Burgundy Drive,Doncaster VIC, Australia",,,,,-37.77943409,145.1195308,0,,0,,1,0,0,,0,
54,3,"Carawatha Reserve Playground,7 Koolkuna Avenue,Doncaster VIC, Australia",,,,,-37.78946314,145.1183818,0,,0,,1,0,0,,0,
55,3,"Coolabah Reserve Playground,35-37 Coolabah Street,Doncaster VIC, Australia",,,,,-37.79120552,145.1393261,0,,0,,1,0,0,,0,
56,3,"Davis Reserve Playground,12 Davis Street,Doncaster VIC, Australia",,,,,-37.79389942,145.1190371,0,,0,,1,0,0,,0,
57,3,"Eildon Reserve Playground,11 Eildon Street,Doncaster VIC, Australia",,,,,-37.79449498,145.1242218,0,,0,,1,0,0,,0,
58,3,"Glenda Reserve Playground,36 Glenda Street,Doncaster VIC, Australia",,,,,-37.7833711,145.1069736,0,,0,,1,0,0,,0,
59,3,"Grover Reserve Playground,5-15 Grover Road,Doncaster VIC, Australia",,,,,-37.78082714,145.1406987,0,,0,,1,0,0,,0,
60,3,"Hampshire Reserve Playground,22-26 Hampshire Road,Doncaster VIC, Australia",,,,,-37.79475439,145.1386851,0,,0,,1,0,0,,0,
61,3,"Hanke Reserve Playground,15 Hanke Road,Doncaster VIC, Australia",,,,,-37.79104365,145.1243246,0,,0,,1,0,0,,0,
62,3,"Katrina Gully Playground,20 Katrina Street,Doncaster VIC, Australia",,,,,-37.79452033,145.1166419,0,,0,,1,0,0,,0,
63,3,"Kingsnorth Reserve Playground,5-9 Kingsnorth Street,Doncaster VIC, Australia",,,,,-37.78566669,145.1035846,0,,0,,1,0,0,,0,
64,3,"Windella Playspace,44-48 Windella Quadrant,Doncaster VIC, Australia",,,,,-37.79566426,145.1339475,0,,0,,1,0,0,,0,
65,3,"Marshall Reserve Playground,10 Marshall Avenue,Doncaster VIC, Australia",,,,,-37.79070594,145.1351781,0,,0,,1,0,0,,0,
66,3,"Ruffey Lake Park (The Boulevard) Playground,8-94 The Boulevarde,Doncaster VIC, Australia",,,,,-37.77721879,145.1318777,0,,0,,1,0,0,,0,
67,3,"JW Thomson Reserve Playground,29 Saxon Street,Doncaster VIC, Australia",,,,,-37.78229164,145.1279781,0,,0,,1,0,0,,0,
68,3,"Schramms Reserve Playground (South),2-50 J J Tully Drive,Doncaster VIC, Australia",,,,,-37.78466154,145.1337742,0,,0,,1,0,0,,0,
69,3,"Sharon Reserve Playground,11-13 Sharon Street,Doncaster VIC, Australia",,,,,-37.78371299,145.1401914,0,,0,,1,0,0,,0,
70,3,"Somerville Reserve Playground,22-24 Somerville Street,Doncaster VIC, Australia",,,,,-37.77847235,145.1162954,0,,0,,1,0,0,,0,
71,3,"Studley Reserve Playground,18 Studley Street,Doncaster VIC, Australia",,,,,-37.7821123,145.113568,0,,0,,1,0,0,,0,
72,3,"Timber Reserve (North) Playground,6-20 Anthony Avenue,Doncaster VIC, Australia",,,,,-37.77534078,145.1079882,0,,0,,1,0,0,,0,
73,3,"Timber Reserve (South) Playground,57-59 Timber Ridge,Doncaster VIC, Australia",,,,,-37.77678236,145.105904,0,,0,,1,0,0,,0,
74,3,"Walker Reserve Playground,27 Walker Street,Doncaster VIC, Australia",,,,,-37.79025545,145.1284307,0,,0,,1,0,0,,0,
75,3,"Wilsons Reserve Playground,95-107 Wilsons Road,Doncaster VIC, Australia",,,,,-37.79130497,145.1110407,0,,0,,1,0,0,,0,
76,3,"Winbrook Reserve Playground,18 Winbrook Court,Doncaster VIC, Australia",,,,,-37.78108402,145.1248208,0,,0,,1,0,0,,0,
77,3,"Stutt Reserve Playground,22 Golf Links Court,Doncaster VIC, Australia",,,,,-37.7863581,145.1071486,0,,0,,1,0,0,,0,
78,3,"Schramms Reserve Playground (North),2-50 J J Tully Drive,Doncaster VIC, Australia",,,,,-37.78081238,145.1346253,0,,0,,1,0,0,,0,
79,3,"Makybe Reserve (Tullamore) Playspace,40 Stables Circuit,Doncaster VIC, Australia",,,,,-37.78670618,145.116649,0,,0,,1,0,0,,0,
80,3,"Southern Gully Reserve - East (Tullamore) Playspace,10 Heritage Boulevard,Doncaster VIC, Australia",,,,,-37.78526016,145.1150865,0,,0,,1,0,0,,0,
81,3,"Southern Gully Reserve - West (Tullamore) Playspace,13 Heritage Boulevard,Doncaster VIC, Australia",,,,,-37.78466702,145.1133085,0,,0,,1,0,0,,0,
82,3,"Lawford Reserve Playground,23 Lawford Street,Doncaster VIC, Australia",,,,,-37.78527334,145.1202796,0,,0,,1,0,0,,0,
83,3,"Aintree Reserve Playground,4-6 Aintree Avenue,Donvale VIC, Australia",,,,,-37.78773806,145.1686147,0,,0,,1,0,0,,0,
84,3,"Allara Reserve Playground,6 Allara Court,Donvale VIC, Australia",,,,,-37.7751094,145.1807242,0,,0,,1,0,0,,0,
85,3,"Aranga Reserve Playground,nan Eastway Avenue,Donvale VIC, Australia",,,,,-37.80216418,145.1767341,0,,0,,1,0,0,,0,
